,Title,url,ID,CC,Subtitle
0,YT83_Zakaryia_and_his_Son_Yahya_Part_1_of_the_series_3issa_Son_of_Maryam_Amazing_Quran_Evidence,https://www.youtube.com/watch?v=mf6A5RF9JeE,mf6A5RF9JeE,not available,not available
1,YT82_Interpretation_of_Ayatul_Kursi_Did_Solomon_Slaughter_his_horses_Expanded_definition_of_3arsh,https://www.youtube.com/watch?v=PcHG3jqtZE8,PcHG3jqtZE8,not available,not available
2,YT81_Who_Was_Abou_Lahab_The_true_identity_of_this_character_in_Surah_Al_Massad_Quran_Chapter_111,https://www.youtube.com/watch?v=BLfAyNy1ouo,BLfAyNy1ouo,automatic,https://www.youtube.com/api/timedtext?v=BLfAyNy1ouo&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xoaf=5&hl=en&ip=0.0.0.0&ipbits=0&expire=1638907129&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxoaf&signature=6039EDB1D91E704EFEC6CE621032E24402CFE9D8.7D0C9A4FE0EEFDE7F2FCC4F5A5E7730982BABCCF&key=yt8&kind=asr&lang=en&tlang=ar&fmt=ttml
3,YT80_Who_Was_Ishmael_How_we_were_taught_the_wrong_story_of_Issmail_for1400years_Irrefutable_evidence,https://www.youtube.com/watch?v=3KMM8pE_A5M,3KMM8pE_A5M,automatic,https://www.youtube.com/api/timedtext?v=3KMM8pE_A5M&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xoaf=5&hl=en&ip=0.0.0.0&ipbits=0&expire=1638907129&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxoaf&signature=9F3A4A20E9A9644C428AE10BD9768C42104D21A5.094769E0F6D92DE20216A2A81266093D86B69DC8&key=yt8&kind=asr&lang=en&tlang=ar&fmt=ttml
4,YT79_Frequently_Asked_Questions_about_Avoiding_Allahhumma,https://www.youtube.com/watch?v=yvXfpP5C6Lo,yvXfpP5C6Lo,not available,not available
5,YT78_Were_Muslims_duped_into_cursing_each_other_for_1400_years_using_secret_Hebrew_word_in_supplicat,https://www.youtube.com/watch?v=tyI1QKJgrSs,tyI1QKJgrSs,not available,not available
6,YT77_Were_Jesus_s_Disciples_Mentioned_in_the_Quran_Was_there_a_last_supper_in_Quran_Hawariyyoon,https://www.youtube.com/watch?v=5lTPllkxAcY,5lTPllkxAcY,automatic,https://www.youtube.com/api/timedtext?v=5lTPllkxAcY&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xoaf=5&hl=en&ip=0.0.0.0&ipbits=0&expire=1638907131&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxoaf&signature=CF2D4E25156BFD6708DA0CD19805F60422FADC5B.70A042E19B7D235E49D9516B31631E10D36F22E7&key=yt8&kind=asr&lang=en&tlang=ar&fmt=ttml
7,YT76_What_is_Shaytan_and_Qareen_in_the_Quran_Not_the_Bible_s_Satan_or_Devil_Iblees_vs_Shaytan,https://www.youtube.com/watch?v=Q_qtYWkzG_g,Q_qtYWkzG_g,automatic,https://www.youtube.com/api/timedtext?v=Q_qtYWkzG_g&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xoaf=5&hl=en&ip=0.0.0.0&ipbits=0&expire=1638907132&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxoaf&signature=09DB86796C59D8C080D6C26E510990347AE38FF1.13A2301B5DC151B9421B6B242AF1433F2737A0A6&key=yt8&kind=asr&lang=en&tlang=ar&fmt=ttml
8,YT75_Iblees_and_the_seven_gateways_to_Jahannam_Is_belief_in_Jinn_required_for_us,https://www.youtube.com/watch?v=pWmG78AF7HI,pWmG78AF7HI,not available,not available
9,YT74_Who_or_What_is_Iblees_What_is_Jinn_a_dam_s_Zawj_in_Al_Baqarah_2_35_What_is_Iblees_s_strategy,https://www.youtube.com/watch?v=qp-89JSbH7c,qp-89JSbH7c,automatic,https://www.youtube.com/api/timedtext?v=qp-89JSbH7c&asr_langs=de%2Cen%2Ces%2Cfr%2Cid%2Cit%2Cja%2Cko%2Cnl%2Cpt%2Cru%2Ctr%2Cvi&caps=asr&exp=xftt%2Cxctw&xoaf=5&hl=en&ip=0.0.0.0&ipbits=0&expire=1638907134&sparams=ip%2Cipbits%2Cexpire%2Cv%2Casr_langs%2Ccaps%2Cexp%2Cxoaf&signature=2A0B7BECD42F5D042B761D3408BC3C9C0F7DF4E0.1EEA3D4323CB326C6942A03C3C664F8458BB7986&key=yt8&kind=asr&lang=en&tlang=ar&fmt=ttml
