Name	Time	Comment
Obaidul Haque	2021-12-07T04:44:39Z	Unlearn to relearn; (Based on QRAN)
Camil AAA	2021-12-06T20:10:13Z	if iblees was a jinn and command was for the angels to prostrate then why would have he prostrated?
Ayub Bukhari	2021-12-06T15:24:16Z	Please don't drag too long
No One	2021-12-06T05:38:33Z	Salamun alaykum So what about blackmagic is that all fake please reply
Why Owhy	2021-12-06T05:03:25Z	You’re an excellent and gifted teacher. JazakAllahh 🤲🌸💜
Sam Smith	2021-12-06T01:47:06Z	Sorry I'm asking questions while listening and reading comments. Is Jannah then not a location or afterlife where we go after death?
Ibrahim Abdelaziz	2021-12-05T21:15:21Z	This is basically how Muhammad Asad (Allah be pleased with him) understood the Quran. His translation is very unique and unorthodox.
Cyrano Onghaflin	2021-12-05T14:17:50Z	RUBBISH!!!!
nadia rana	2021-12-04T04:46:18Z	Assalamualaikum wa rahmatallahi wa barakah, It Was painful to me when people would ask about jinns in a derogatory way to muslims beleifs , now it has become clear
Humayun Hamid	2021-12-03T00:38:38Z	As salam brother. Please, can you explain verse(7-189). JAK.
Altavian	2021-12-02T19:03:24Z	time 1:53 Dr Hany, i love your enthusiam and I am Learning everyday from you but I need to correct you brother also on one point: Jinn, you say that they are not separate creatures but in us. Conceptually this doesn't sound too wrong since it is our thinking that attracts them but my friend it is wrong. Jinn are real beings that often inhabit humans and run in the blood, just as the prophet said in a hadith, peace upon him. I know because I have dealt with them now for 22 years. They take snake forms and even dragon forms. You will have to trust I am honest and good muslim and I tell you the truth. Do not reject the injeel imho entirely, and you will learn that Jesus peace upon him, removed many jinns and even talked to jinns in people--you know in the quaran the jinn are also conversing with themselves about the new guidance and some became muslim--you are a great teacher, but please learn from us muslims who pratice islam in the world and must deal with these creatures daily, salaam
Abdi Karim	2021-12-01T23:13:11Z	Man!! Dr. Hany, I wonder how much time you put in. I wouldn't accumulate all these in M year.
Darnell Smith	2021-11-30T20:29:06Z	Why are 2 Jinns named in the Quran, Iblis and Ifrit in surah 27
